City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Abbeville,FR,60.49,overcast clouds,50.1,1.8333,Hôtel Mercure
Ushuaia,AR,49.66,light rain,-54.8,-68.3,Arakur
Xuddur,SO,82.11,broken clouds,4.1213,43.8894,No hotel found
Mbandaka,CD,83.14,overcast clouds,0.0487,18.2603,Benghazi
Tessalit,ML,98.51,scattered clouds,20.1986,1.0114,No hotel found
Gravdal,NO,46.29,broken clouds,68.1214,13.5031,No hotel found
Busselton,AU,56.93,clear sky,-33.65,115.3333,No hotel found
Rikitea,PF,77.29,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Clifton Hall Great House
Avarua,CK,73.45,moderate rain,-21.2078,-159.775,Natura Nikao Beach Bungalow
Cape Town,ZA,69.39,overcast clouds,-33.9258,18.4232,DoubleTree by Hilton Hotel Cape Town - Upper Eastside
Jamestown,US,48.52,few clouds,42.097,-79.2353, 
Hermanus,ZA,61.81,overcast clouds,-34.4187,19.2345, 
Saint George,US,55.44,clear sky,37.1041,-113.5841, 
Barra Patuca,HN,85.86,scattered clouds,15.8,-84.2833, 
Mazarron,ES,66.15,broken clouds,37.5992,-1.3149, 
Buala,SB,78.01,scattered clouds,-8.145,159.5921, 
Bethel,US,53.64,overcast clouds,41.3712,-73.414, 
Abha,SA,66.02,few clouds,18.2164,42.5053, 
Korla,CN,51.31,overcast clouds,41.7597,86.1469, 
Castro,BR,65.88,clear sky,-24.7911,-50.0119, 
Honningsvag,NO,40.75,broken clouds,70.9821,25.9704, 
Chuy,UY,58.17,overcast clouds,-33.6971,-53.4616, 
Vaini,TO,75.36,broken clouds,-21.2,-175.2, 
New Norfolk,AU,50.92,broken clouds,-42.7826,147.0587, 
Lagos,NG,83.35,light rain,6.5833,3.75, 
Santa Cruz Del Sur,CU,85.82,heavy intensity rain,20.7147,-77.9956, 
Sao Filipe,CV,74.82,broken clouds,14.8961,-24.4956, 
